NCTId,gpt4o_zs_gen_scores,gpt4o_ts_gen_scores,llama3_70b_it_zs_gen_scores,llama3_70b_it_ts_gen_scores
NCT02776553,"{""precision"": 0.5294117647058824, ""recall"": 0.32142857142857145, ""f1"": 0.39999999999999997}","{""precision"": 0.6, ""recall"": 0.32142857142857145, ""f1"": 0.41860465116279066}","{""precision"": 0.6666666666666666, ""recall"": 0.42857142857142855, ""f1"": 0.5217391304347826}","{""precision"": 0.6363636363636364, ""recall"": 0.5, ""f1"": 0.56}"
NCT02790437,"{""precision"": 0.2727272727272727, ""recall"": 0.42857142857142855, ""f1"": 0.33333333333333326}","{""precision"": 0.35, ""recall"": 0.5, ""f1"": 0.4117647058823529}","{""precision"": 0.5, ""recall"": 0.5714285714285714, ""f1"": 0.5333333333333333}","{""precision"": 0.42857142857142855, ""recall"": 0.42857142857142855, ""f1"": 0.42857142857142855}"
NCT02809183,"{""precision"": 0.3125, ""recall"": 0.35714285714285715, ""f1"": 0.3333333333333333}","{""precision"": 0.35714285714285715, ""recall"": 0.35714285714285715, ""f1"": 0.35714285714285715}","{""precision"": 0.36363636363636365, ""recall"": 0.2857142857142857, ""f1"": 0.32}","{""precision"": 0.375, ""recall"": 0.42857142857142855, ""f1"": 0.39999999999999997}"
NCT02833857,"{""precision"": 0.6666666666666666, ""recall"": 0.45454545454545453, ""f1"": 0.5405405405405405}","{""precision"": 0.6470588235294118, ""recall"": 0.5, ""f1"": 0.5641025641025642}","{""precision"": 0.6842105263157895, ""recall"": 0.6842105263157895, ""f1"": 0.6842105263157895}","{""precision"": 0.6875, ""recall"": 0.6111111111111112, ""f1"": 0.6470588235294118}"
NCT02834663,"{""precision"": 0.38461538461538464, ""recall"": 0.625, ""f1"": 0.4761904761904762}","{""precision"": 0.42857142857142855, ""recall"": 0.75, ""f1"": 0.5454545454545454}","{""precision"": 0.7272727272727273, ""recall"": 1.0, ""f1"": 0.8421052631578948}","{""precision"": 0.6666666666666666, ""recall"": 1.0, ""f1"": 0.8}"
NCT02836873,"{""precision"": 0.5714285714285714, ""recall"": 0.5333333333333333, ""f1"": 0.5517241379310344}","{""precision"": 0.47058823529411764, ""recall"": 0.5333333333333333, ""f1"": 0.5}","{""precision"": 0.5714285714285714, ""recall"": 0.5333333333333333, ""f1"": 0.5517241379310344}","{""precision"": 0.7, ""recall"": 0.4666666666666667, ""f1"": 0.56}"
NCT02846779,"{""precision"": 0.5333333333333333, ""recall"": 0.3076923076923077, ""f1"": 0.3902439024390244}","{""precision"": 0.25, ""recall"": 0.19230769230769232, ""f1"": 0.2173913043478261}","{""precision"": 0.26666666666666666, ""recall"": 0.15384615384615385, ""f1"": 0.1951219512195122}","{""precision"": 0.23076923076923078, ""recall"": 0.11538461538461539, ""f1"": 0.15384615384615388}"
NCT02892149,"{""precision"": 0.4, ""recall"": 0.8888888888888888, ""f1"": 0.5517241379310346}","{""precision"": 0.3684210526315789, ""recall"": 0.7777777777777778, ""f1"": 0.5}","{""precision"": 0.4117647058823529, ""recall"": 0.7777777777777778, ""f1"": 0.5384615384615384}","{""precision"": 0.5, ""recall"": 0.8888888888888888, ""f1"": 0.64}"
NCT03014479,"{""precision"": 0.3157894736842105, ""recall"": 0.375, ""f1"": 0.34285714285714286}","{""precision"": 0.5714285714285714, ""recall"": 0.5, ""f1"": 0.5333333333333333}","{""precision"": 0.6153846153846154, ""recall"": 0.5, ""f1"": 0.5517241379310345}","{""precision"": 0.5, ""recall"": 0.4375, ""f1"": 0.4666666666666667}"
NCT03028948,"{""precision"": 0.4375, ""recall"": 0.6363636363636364, ""f1"": 0.5185185185185185}","{""precision"": 0.5, ""recall"": 0.5454545454545454, ""f1"": 0.5217391304347826}","{""precision"": 0.3888888888888889, ""recall"": 0.6363636363636364, ""f1"": 0.4827586206896552}","{""precision"": 0.4375, ""recall"": 0.6363636363636364, ""f1"": 0.5185185185185185}"
NCT03141905,"{""precision"": 0.5, ""recall"": 0.6666666666666666, ""f1"": 0.5714285714285715}","{""precision"": 0.5263157894736842, ""recall"": 0.8333333333333334, ""f1"": 0.6451612903225806}","{""precision"": 0.5714285714285714, ""recall"": 0.6666666666666666, ""f1"": 0.6153846153846153}","{""precision"": 0.5, ""recall"": 0.5833333333333334, ""f1"": 0.5384615384615384}"
NCT03195140,"{""precision"": 0.46153846153846156, ""recall"": 0.5, ""f1"": 0.48000000000000004}","{""precision"": 0.6111111111111112, ""recall"": 0.9166666666666666, ""f1"": 0.7333333333333334}","{""precision"": 0.8181818181818182, ""recall"": 0.75, ""f1"": 0.7826086956521738}","{""precision"": 0.5714285714285714, ""recall"": 0.6666666666666666, ""f1"": 0.6153846153846153}"
NCT03210220,"{""precision"": 0.2, ""recall"": 0.5, ""f1"": 0.28571428571428575}","{""precision"": 0.07142857142857142, ""recall"": 0.3333333333333333, ""f1"": 0.11764705882352941}","{""precision"": 0.25, ""recall"": 0.5, ""f1"": 0.3333333333333333}","{""precision"": 0.2, ""recall"": 0.6666666666666666, ""f1"": 0.30769230769230765}"
NCT03223649,"{""precision"": 0.14814814814814814, ""recall"": 0.2222222222222222, ""f1"": 0.17777777777777776}","{""precision"": 0.3333333333333333, ""recall"": 0.2777777777777778, ""f1"": 0.303030303030303}","{""precision"": 0.36363636363636365, ""recall"": 0.2222222222222222, ""f1"": 0.27586206896551724}","{""precision"": 0.2777777777777778, ""recall"": 0.3125, ""f1"": 0.29411764705882354}"
NCT03242252,"{""precision"": 0.5333333333333333, ""recall"": 0.5333333333333333, ""f1"": 0.5333333333333333}","{""precision"": 0.45, ""recall"": 0.6, ""f1"": 0.5142857142857143}","{""precision"": 0.5, ""recall"": 0.4666666666666667, ""f1"": 0.4827586206896552}","{""precision"": 0.6428571428571429, ""recall"": 0.6, ""f1"": 0.6206896551724138}"
NCT03322631,"{""precision"": 0.46153846153846156, ""recall"": 0.8571428571428571, ""f1"": 0.6}","{""precision"": 0.375, ""recall"": 0.8571428571428571, ""f1"": 0.5217391304347825}","{""precision"": 0.42857142857142855, ""recall"": 0.8571428571428571, ""f1"": 0.5714285714285714}","{""precision"": 0.42857142857142855, ""recall"": 0.8571428571428571, ""f1"": 0.5714285714285714}"
NCT03371108,"{""precision"": 0.3333333333333333, ""recall"": 0.5833333333333334, ""f1"": 0.4242424242424242}","{""precision"": 0.5294117647058824, ""recall"": 0.75, ""f1"": 0.6206896551724139}","{""precision"": 0.6153846153846154, ""recall"": 0.6666666666666666, ""f1"": 0.64}","{""precision"": 0.42105263157894735, ""recall"": 0.6666666666666666, ""f1"": 0.5161290322580646}"
NCT03394027,"{""precision"": 0.23529411764705882, ""recall"": 0.6666666666666666, ""f1"": 0.3478260869565218}","{""precision"": 0.2631578947368421, ""recall"": 0.8333333333333334, ""f1"": 0.39999999999999997}","{""precision"": 0.2777777777777778, ""recall"": 0.8333333333333334, ""f1"": 0.4166666666666667}","{""precision"": 0.2, ""recall"": 0.8333333333333334, ""f1"": 0.3225806451612903}"
NCT03546270,"{""precision"": 0.45454545454545453, ""recall"": 0.3125, ""f1"": 0.3703703703703703}","{""precision"": 0.7, ""recall"": 0.4375, ""f1"": 0.5384615384615384}","{""precision"": 0.4166666666666667, ""recall"": 0.3125, ""f1"": 0.35714285714285715}","{""precision"": 0.6666666666666666, ""recall"": 0.5, ""f1"": 0.5714285714285715}"
NCT03674112,"{""precision"": 0.15384615384615385, ""recall"": 0.36363636363636365, ""f1"": 0.21621621621621623}","{""precision"": 0.22727272727272727, ""recall"": 0.45454545454545453, ""f1"": 0.30303030303030304}","{""precision"": 0.3333333333333333, ""recall"": 0.45454545454545453, ""f1"": 0.3846153846153846}","{""precision"": 0.2857142857142857, ""recall"": 0.36363636363636365, ""f1"": 0.32}"
NCT03675360,"{""precision"": 0.5789473684210527, ""recall"": 0.4782608695652174, ""f1"": 0.5238095238095238}","{""precision"": 0.6842105263157895, ""recall"": 0.5652173913043478, ""f1"": 0.6190476190476191}","{""precision"": 0.5625, ""recall"": 0.36, ""f1"": 0.43902439024390244}","{""precision"": 0.7368421052631579, ""recall"": 0.6363636363636364, ""f1"": 0.6829268292682926}"
NCT03708770,"{""precision"": 0.24, ""recall"": 0.6, ""f1"": 0.34285714285714286}","{""precision"": 0.375, ""recall"": 0.6, ""f1"": 0.4615384615384615}","{""precision"": 0.3684210526315789, ""recall"": 0.7777777777777778, ""f1"": 0.5}","{""precision"": 0.6428571428571429, ""recall"": 0.9, ""f1"": 0.75}"
NCT03890588,"{""precision"": 0.47368421052631576, ""recall"": 0.8181818181818182, ""f1"": 0.6}","{""precision"": 0.5555555555555556, ""recall"": 1.0, ""f1"": 0.7142857142857143}","{""precision"": 0.5555555555555556, ""recall"": 1.0, ""f1"": 0.7142857142857143}","{""precision"": 0.625, ""recall"": 1.0, ""f1"": 0.7692307692307693}"
NCT03987919,"{""precision"": 0.6666666666666666, ""recall"": 0.8571428571428571, ""f1"": 0.75}","{""precision"": 0.47058823529411764, ""recall"": 0.5714285714285714, ""f1"": 0.5161290322580646}","{""precision"": 0.6666666666666666, ""recall"": 0.7142857142857143, ""f1"": 0.689655172413793}","{""precision"": 0.5, ""recall"": 0.7142857142857143, ""f1"": 0.588235294117647}"
NCT04280783,,,,
NCT04392375,"{""precision"": 0.75, ""recall"": 0.42857142857142855, ""f1"": 0.5454545454545454}","{""precision"": 0.5882352941176471, ""recall"": 0.35714285714285715, ""f1"": 0.4444444444444445}","{""precision"": 0.6111111111111112, ""recall"": 0.4074074074074074, ""f1"": 0.4888888888888889}","{""precision"": 0.625, ""recall"": 0.3448275862068966, ""f1"": 0.4444444444444445}"
NCT04823949,"{""precision"": 0.42857142857142855, ""recall"": 0.8181818181818182, ""f1"": 0.5625}","{""precision"": 0.35294117647058826, ""recall"": 0.5454545454545454, ""f1"": 0.42857142857142855}","{""precision"": 0.3333333333333333, ""recall"": 0.5454545454545454, ""f1"": 0.41379310344827586}","{""precision"": 0.375, ""recall"": 0.5454545454545454, ""f1"": 0.4444444444444444}"
